品項
原鄉四季
特級綠茶
烏龍綠茶
翡翠烏龍
極品菁茶
錫蘭紅茶
特選普洱
奶茶系列
錫蘭奶紅
特級奶綠
烏龍奶茶
珍珠奶茶
粉圓奶茶
仙草凍奶茶
布丁奶茶
椰果奶茶
蜂蜜奶茶
梅子綠茶
紅茶豆漿
情人茶
蜜茶
蜂蜜烏龍
蜂蜜綠茶
清心巧克力
濃情巧克力
咖啡奶茶
綠豆沙奶茶
芋香奶茶
芝麻奶茶
優多系列
優多綠茶
多多綠茶
優多檸檬
優多葡萄柚
冬瓜系列
冬瓜茶
冬瓜菁茶
冬瓜檸檬
檸檬汁
輕檸四季
檸檬紅茶
檸檬綠茶
蜂蜜檸檬
金桔檸檬
桔茶
葡萄柚汁
葡萄柚綠茶
藍莓醋
藍莓醋紅茶
蜂蜜藍莓醋
蘋果醋
蘋果醋紅茶
蜂蜜蘋果醋
蜂蜜蘋果醋紅茶
冰淇淋紅茶
冰淇淋抹茶
冰淇淋奶茶
鮮奶茶
鮮奶冬瓜
鮮奶豆漿
咖啡拿鐵
珍珠芝麻拿鐵
清心巧克力拿鐵
濃情巧克力拿鐵
珍珠蜂蜜鮮奶普洱
和風抹茶
翡翠抹茶
抹茶拿鐵
桂圓茶
桂圓奶茶
薑母茶
薑母奶茶
